name,rating,review_count,price,address,phone,yelp_url,image_url,website,categories,price_num,rating_norm,review_norm,price_fit,score,rank
Fun Station,4.6,691,$$,Market City Shopping Center,N/A,https://www.yelp.com/biz/fun-station-honolulu?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/XgosTEFqq7J12C70NkC61Q/ls.jpg,,"Noodles, Chinese, Seafood",2,1.0,0.6093664203128608,1.0,0.8828,1
Lam's Kitchen,4.4,646,$$,Chinatown,N/A,https://www.yelp.com/biz/lams-kitchen-honolulu?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/XlGjDlOomi8VZe6gLvWrRA/ls.jpg,,"Noodles, Cantonese",2,0.8461538461538467,0.5780524721198353,1.0,0.7965,2
Yi Xin Cafe,4.4,436,$$,Market City Shopping Center,N/A,https://www.yelp.com/biz/yi-xin-cafe-honolulu?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/wXwa9e8FuzQYMn5lZIWLag/ls.jpg,,"Hong Kong Style Cafe, Asian Fusion, Seafood",2,0.8461538461538467,0.39530313547902274,1.0,0.7417,3
Kirin Restaurant,4.2,978,$$$,"Hyatt Regency Waikiki Beach Resort And Spa, Waikiki",N/A,https://www.yelp.com/biz/kirin-restaurant-honolulu-4?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/OLJTOqb3i8XxzT0DyWnLfg/ls.jpg,,"Seafood, Dim Sum, Cantonese",3,0.6923076923076926,0.7709412867732301,0.7,0.7174,4
Lee Ho Fook Restaurant,4.5,273,$$,"Chinatown Cultural Plaza, Chinatown",N/A,https://www.yelp.com/biz/lee-ho-fook-restaurant-honolulu?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/CMMLSeQHGfQUWPiwwRPNRg/ls.jpg,,"Noodles, Seafood, Cantonese",2,0.9230769230769234,0.17790896481770488,1.0,0.7149,5
Dew Drop Inn,4.1,611,$$,Honolulu,N/A,https://www.yelp.com/biz/dew-drop-inn-honolulu?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/xy9V9vx7cHquFWMqI6P35A/ls.jpg,,"Chinese, Taiwanese, Noodles",2,0.6153846153846153,0.5521526644573272,1.0,0.6733,6
Kapiolani Seafood Restaurant,4.1,518,$$,Honolulu,N/A,https://www.yelp.com/biz/kapiolani-seafood-restaurant-honolulu?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/6HzzMZC-YXIeLg3aZiGwnQ/ls.jpg,,"Yum Cha, Seafood, Cantonese",2,0.6153846153846153,0.47539100516058674,1.0,0.6503,7
Lagoon Chinese Restaurant,4.2,334,$$,Pacific Marina Inn,N/A,https://www.yelp.com/biz/lagoon-chinese-restaurant-honolulu?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/Q7ImmqEhZgCKyCbIr5KP-g/ls.jpg,,Chinese,2,0.6923076923076926,0.2715171037087692,1.0,0.6276,8
Jade Dynasty Seafood Restaurant,3.6,1600,$$,Ala Moana,N/A,https://www.yelp.com/biz/jade-dynasty-seafood-restaurant-honolulu?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/FJzb_8KryqU8aAq6eXIuaA/ls.jpg,,"Yum Cha, Seafood, Cantonese",2,0.230769230769231,1.0,1.0,0.6154,9
Wuwei Chong Qing Cuisine,4.3,210,$$,Honolulu,N/A,https://www.yelp.com/biz/wuwei-chong-qing-cuisine-honolulu-2?osq=chinese,https://s3-media0.fl.yelpcdn.com/bphoto/ytZIjOn1DzLOlc_oGe0Ydw/ls.jpg,,"Szechuan, Noodles",2,0.7692307692307694,0.056233836474154045,1.0,0.6015,10
