name,rating,review_count,price,address,phone,yelp_url,image_url,image_gallery,website,categories,price_num,rating_norm,review_norm,price_fit,score,rank
Marugame Udon,4.5,14100,$$,"Kuhio Banyan Hotel, Waikiki",N/A,https://www.yelp.com/biz/marugame-udon-honolulu-15?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/nH_hVAXe3XMASR3k6zVSDw/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/nH_hVAXe3XMASR3k6zVSDw/ls.jpg'],,"Japanese, Noodles, Soup",2,0.7500000000000006,1.0,0.7,0.815,1
Tonkatsu Tamafuji,4.6,2400,$$$,"Hee Hing Plaza, Kaimuki",N/A,https://www.yelp.com/biz/tonkatsu-tamafuji-honolulu-9?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/QJ_eDQjXiJol0Je9KTOnKQ/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/QJ_eDQjXiJol0Je9KTOnKQ/ls.jpg'],,Japanese,3,1.0,0.5644937649998489,0.3,0.7293,2
Izakaya Tenkichi,4.6,241,$$,Mo'ili'ili,N/A,https://www.yelp.com/biz/izakaya-tenkichi-honolulu?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/cpCoYDxg5B_N81_53HC30g/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/cpCoYDxg5B_N81_53HC30g/ls.jpg'],,"Japanese, Noodles, Seafood",2,1.0,0.0,0.7,0.64,3
Totoya,4.6,302,N/A,Kaimuki,N/A,https://www.yelp.com/biz/totoya-honolulu-2?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/5PY5QADfdp817nw7tbHakQ/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/5PY5QADfdp817nw7tbHakQ/ls.jpg'],,"Sushi, Japanese, Seafood",0,1.0,0.05529928181667583,0.5,0.6166,4
ABURIYA IBUSHI,4.5,434,$$,Kaimuki,N/A,https://www.yelp.com/biz/aburiya-ibushi-honolulu?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/BuZCIUtfxcIDMcEF2e2BhQ/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/BuZCIUtfxcIDMcEF2e2BhQ/ls.jpg'],,Japanese,2,0.7500000000000006,0.14425564032563776,0.7,0.5583,5
Akira Japanese Restaurant,4.5,338,N/A,eleven50 Building,N/A,https://www.yelp.com/biz/akira-japanese-restaurant-honolulu-2?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/i09x8xhyo87joLJmMPqbcg/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/i09x8xhyo87joLJmMPqbcg/ls.jpg'],,Japanese,0,0.7500000000000006,0.08291688440319198,0.5,0.4999,6
I-NABA,4.4,797,$$,Honolulu,N/A,https://www.yelp.com/biz/i-naba-honolulu?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/2T9JlvSRQaGdSjKVOtQcWw/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/2T9JlvSRQaGdSjKVOtQcWw/ls.jpg'],,"Japanese, Noodles, Sushi",2,0.5000000000000011,0.2935184011015132,0.7,0.4781,7
Ginza Bairin Tonkatsu & Yoshoku Bistro,4.3,4200,$$$,"Outrigger Regency on Beachwalk, Waikiki",N/A,https://www.yelp.com/biz/ginza-bairin-tonkatsu-and-yoshoku-bistro-honolulu-5?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/8IDf7Ggp2GXmMHV97cE6Tw/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/8IDf7Ggp2GXmMHV97cE6Tw/ls.jpg'],,"Japanese, Diners, Bars",3,0.24999999999999944,0.7021145688679507,0.3,0.3956,8
Izakaya Harumi,4.3,388,N/A,Waikiki,N/A,https://www.yelp.com/biz/izakaya-harumi-honolulu?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/PlnkcEqdns0e_XLAk5I5Zw/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/PlnkcEqdns0e_XLAk5I5Zw/ls.jpg'],,"Hawaiian, Sushi, Izakaya",0,0.24999999999999944,0.11676118819647777,0.5,0.26,9
Kaimuki Shokudo,4.2,439,$$,Kaimuki,N/A,https://www.yelp.com/biz/kaimuki-shokudo-honolulu-2?osq=japanese,https://s3-media0.fl.yelpcdn.com/bphoto/09eeGXwUJ7VHc2dQS1zFNw/ls.jpg,['https://s3-media0.fl.yelpcdn.com/bphoto/09eeGXwUJ7VHc2dQS1zFNw/ls.jpg'],,Japanese,2,0.0,0.1470670838544172,0.7,0.1841,10
