name,rating,review_count,price,address,phone,yelp_url,image_url,website,categories,price_num,rating_norm,review_norm,price_fit,score,rank
Ono Seafood,4.5,4600,$$,Kaimuki,N/A,https://www.yelp.com/biz/ono-seafood-honolulu?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/7RyBwq40YJK0lYhNRQ3BVg/ls.jpg,,"Seafood, Poke",2,0.6666666666666669,0.8430313192137222,1.0,0.7862,1
Royal Lobster,4.7,992,$$$,"Waikiki Shopping Plaza, Waikiki",N/A,https://www.yelp.com/biz/royal-lobster-honolulu-2?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/DpaZr0nR7hK4PQqVKuQhJQ/ls.jpg,,Seafood,3,0.8888888888888893,0.5546796784116433,0.7,0.7508,2
Da Seafood Cartel,4.6,577,$$,Aiea,N/A,https://www.yelp.com/biz/da-seafood-cartel-aiea?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/e_zjfCP8TFJG0H-NnDUE-w/ls.jpg,,"Seafood, Tacos",2,0.7777777777777776,0.4529098849601716,1.0,0.7248,3
Paia Fish Market Waikiki,4.4,2900,$$,"The Laylow Waikiki, Autograph Collection, Waikiki",N/A,https://www.yelp.com/biz/paia-fish-market-waikiki-honolulu-2?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/VadEuLq48Lf_oBwqtrZ4rQ/ls.jpg,,"Seafood, New American, Fish & Chips",2,0.5555555555555561,0.756294761722989,1.0,0.7047,4
Pacific Seafood Distribution,4.8,78,$$$,Honolulu,N/A,https://www.yelp.com/biz/pacific-seafood-distribution-honolulu?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/cpGcnn_bgLFVDb66TMa5Gw/ls.jpg,,Seafood Markets,3,1.0,0.0786473508048054,0.7,0.6636,5
Fresh Catch,4.3,1500,$$,Honolulu,N/A,https://www.yelp.com/biz/fresh-catch-honolulu-2?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/nB9goy0n00dC55HJ31TR3Q/ls.jpg,,"Hawaiian, Seafood, Poke",2,0.44444444444444436,0.6323777101063138,1.0,0.6119,6
Waikiki Garlic Shack,4.5,142,$$,Waikiki,N/A,https://www.yelp.com/biz/waikiki-garlic-shack-honolulu-2?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/i2xiyHve64STcQ8DUQRApw/ls.jpg,,"Seafood, Sandwiches, Food Trucks",2,0.6666666666666669,0.1902413805335628,1.0,0.5904,7
Hula Grill Waikiki,4.1,4500,$$,"Outrigger Waikiki Beach Resort, Waikiki",N/A,https://www.yelp.com/biz/hula-grill-waikiki-honolulu-3?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/fcs7Ea8PJQkD1pOSCl-jXw/ls.jpg,,"Hawaiian, Seafood, Breakfast & Brunch",2,0.22222222222222196,0.8388988805513813,1.0,0.5628,8
Blue Water Shrimp,4.2,1500,$$,"Hilton Hawaiian Village Waikiki Beach Resort, Waikiki",N/A,https://www.yelp.com/biz/blue-water-shrimp-honolulu-3?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/QX_Nwws8QMzwwRiPUVvyew/ls.jpg,,"Hawaiian, Seafood, Burgers",2,0.33333333333333365,0.6323777101063138,1.0,0.5564,9
Duke's Waikiki,4.0,10600,$$,"Outrigger Waikiki Beach Resort, Waikiki",N/A,https://www.yelp.com/biz/dukes-waikiki-honolulu-2?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/gSKZELvdu7rxfQNVzC4l_g/ls.jpg,,"Hawaiian, Seafood, Cocktail Bars",2,0.11111111111111122,1.0,1.0,0.5556,10
Roy's Waikiki,4.3,3600,$$$$,"Waikiki Beach Walk, Waikiki",N/A,https://www.yelp.com/biz/roys-waikiki-honolulu?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/Qj3OrTXHQ5-jOXt3Q5ZzJg/ls.jpg,,"Hawaiian, Asian Fusion, Bars",4,0.44444444444444436,0.7969450127313619,0.3,0.5213,11
Tikis Grill & Bar,4.1,6200,$$$,"The Twin Fin, Waikiki",N/A,https://www.yelp.com/biz/tikis-grill-and-bar-honolulu?osq=seafood,https://s3-media0.fl.yelpcdn.com/bphoto/DGYg4MS1sF2apkZKRmjE4Q/ls.jpg,,"Seafood, Hawaiian, Cocktail Bars",3,0.22222222222222196,0.8991552776435896,0.7,0.5209,12
